year,full_name,html_url,created_at,stargazers,forks,open_issues,language,description
2020,massgravel/Microsoft-Activation-Scripts,https://github.com/massgravel/Microsoft-Activation-Scripts,2020-01-12T23:03:34Z,166392,16013,2,Batchfile,"Open-source Windows and Office activator featuring HWID, Ohook, TSforge, and Online KMS activation methods, along with advanced troubleshooting."
2020,yt-dlp/yt-dlp,https://github.com/yt-dlp/yt-dlp,2020-10-26T04:22:55Z,147631,11958,2317,Python,A feature-rich command-line audio/video downloader
2020,labuladong/fucking-algorithm,https://github.com/labuladong/fucking-algorithm,2020-02-19T09:01:23Z,132671,23706,2,Markdown,"刷算法全靠套路，认准 labuladong 就够了！English version supported! Crack LeetCode, not only how, but also why. "
2020,excalidraw/excalidraw,https://github.com/excalidraw/excalidraw,2020-01-02T01:04:43Z,117039,12571,2794,TypeScript,Virtual whiteboard for sketching hand-drawn like diagrams
2020,rustdesk/rustdesk,https://github.com/rustdesk/rustdesk,2020-09-28T15:36:08Z,107744,16023,103,Rust,"An open-source remote desktop application designed for self-hosting, as an alternative to TeamViewer."
2020,Anduin2017/HowToCook,https://github.com/Anduin2017/HowToCook,2020-02-29T10:43:49Z,98014,10826,470,Dockerfile,程序员在家做饭方法指南。Programmer's guide about how to cook at home (Simplified Chinese only).
2020,microsoft/Web-Dev-For-Beginners,https://github.com/microsoft/Web-Dev-For-Beginners,2020-11-10T02:44:00Z,95304,15157,47,JavaScript,"24 Lessons, 12 Weeks, Get Started as a Web Developer"
2020,anuraghazra/github-readme-stats,https://github.com/anuraghazra/github-readme-stats,2020-07-09T10:34:22Z,78431,30646,249,JavaScript,:zap: Dynamically generated stats for your github readmes
2020,vitejs/vite,https://github.com/vitejs/vite,2020-04-21T05:03:57Z,78228,7842,618,TypeScript,Next generation frontend tooling. It's fast!
2020,ventoy/Ventoy,https://github.com/ventoy/Ventoy,2020-03-10T15:19:19Z,74565,4703,907,C,A new bootable USB solution.
2020,PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,2020-05-08T10:38:16Z,70910,9838,291,Python,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages."
