split,model,train_active_rate,test_active_rate,balanced_accuracy,f1,precision,recall,roc_auc
rolling_test_2021,dummy_most_frequent,0.6934523809523809,0.6909480449919657,0.5,0.817231548938866,0.6909480449919657,1.0,
rolling_test_2021,logistic_regression,0.6934523809523809,0.6909480449919657,0.8118193543186489,0.8409090909090909,0.919889502762431,0.7744186046511627,0.8862077304421427
rolling_test_2021,random_forest_classifier,0.6934523809523809,0.6909480449919657,0.8137546518345358,0.8555008210180624,0.9092495636998255,0.8077519379844961,0.8901381107841952
rolling_test_2021,gradient_boosting_classifier,0.6934523809523809,0.6909480449919657,0.7510143350395657,0.8588724933787363,0.8388765705838876,0.8798449612403101,0.867931562613357
rolling_test_2022,dummy_most_frequent,0.6916108704214258,0.7244236311239193,0.5,0.8401921871735951,0.7244236311239193,1.0,
rolling_test_2022,logistic_regression,0.6916108704214258,0.7244236311239193,0.8308385578663755,0.877652606759235,0.9274640088593576,0.8329189457981104,0.9031857463688276
rolling_test_2022,random_forest_classifier,0.6916108704214258,0.7244236311239193,0.8407198317749112,0.8902691511387164,0.9282245008094981,0.8552958727001492,0.9152146852442287
rolling_test_2022,gradient_boosting_classifier,0.6916108704214258,0.7244236311239193,0.80324294809918,0.8965007392804337,0.8886174890083048,0.9045251118846345,0.9173984263023959
rolling_test_2023,dummy_most_frequent,0.7087488240827846,0.7281061519903498,0.5,0.8426636883987156,0.7281061519903498,1.0,
rolling_test_2023,logistic_regression,0.7087488240827846,0.7281061519903498,0.859662786369626,0.898072582045494,0.9434512951477563,0.856858846918489,0.9291516502875676
rolling_test_2023,random_forest_classifier,0.7087488240827846,0.7281061519903498,0.8646695690982764,0.9073120494335737,0.9412393162393162,0.8757455268389662,0.9330162179834334
rolling_test_2023,gradient_boosting_classifier,0.7087488240827846,0.7281061519903498,0.841894800966458,0.9161716171617161,0.9125575279421433,0.9198144466534128,0.9372706382233074
rolling_test_2024,dummy_most_frequent,0.71723044397463,0.7014728096676737,0.5,0.8245477749417379,0.7014728096676737,1.0,
rolling_test_2024,logistic_regression,0.71723044397463,0.7014728096676737,0.8664792969677777,0.8950573573148279,0.9444112372982666,0.8506056527590848,0.9377872157850246
rolling_test_2024,random_forest_classifier,0.71723044397463,0.7014728096676737,0.875611462837208,0.9076686688084928,0.9433797909407665,0.8745625841184388,0.9448370326292285
rolling_test_2024,gradient_boosting_classifier,0.71723044397463,0.7014728096676737,0.8672023005355487,0.9186266558529332,0.9226174314417595,0.9146702557200538,0.9472732643615341
rolling_test_2025,dummy_most_frequent,0.7115749525616698,0.6449667221297837,0.5,0.7841699329877355,0.6449667221297837,1.0,
rolling_test_2025,logistic_regression,0.7115749525616698,0.6449667221297837,0.855628237163702,0.8784446322907862,0.9232409381663113,0.8377942599161561,0.9330830786296993
rolling_test_2025,random_forest_classifier,0.7115749525616698,0.6449667221297837,0.8676162630230397,0.8906773977196513,0.9276982186517639,0.8564979039019671,0.9366874680144563
rolling_test_2025,gradient_boosting_classifier,0.7115749525616698,0.6449667221297837,0.8628305928488023,0.901535974130962,0.9040207522697795,0.8990648178007095,0.9403589219570685
holdout_2020_2023_vs_2024_2025,dummy_most_frequent,0.71723044397463,0.6745843230403801,0.5,0.8056737588652483,0.6745843230403801,1.0,
holdout_2020_2023_vs_2024_2025,logistic_regression,0.71723044397463,0.6745843230403801,0.8619548036393544,0.8875347115087936,0.9357514638906962,0.844043427230047,0.935046384348263
holdout_2020_2023_vs_2024_2025,random_forest_classifier,0.71723044397463,0.6745843230403801,0.8699849645317159,0.8990713959506774,0.9341980385953812,0.8664906103286385,0.9391392167634761
holdout_2020_2023_vs_2024_2025,gradient_boosting_classifier,0.71723044397463,0.6745843230403801,0.8628591806312327,0.9095189053994409,0.9120684567719091,0.9069835680751174,0.9426377207129639
