split,train_active_rate,test_active_rate
holdout_2020_2023_vs_2024_2025,0.71723044397463,0.6745843230403801
rolling_test_2021,0.6934523809523809,0.6909480449919657
rolling_test_2022,0.6916108704214258,0.7244236311239193
rolling_test_2023,0.7087488240827846,0.7281061519903498
rolling_test_2024,0.71723044397463,0.7014728096676737
rolling_test_2025,0.7115749525616698,0.6449667221297837
