model,balanced_accuracy,f1,precision,recall,roc_auc
random_forest_classifier,0.8553927905166145,0.891749914011529,0.9306649048227585,0.8560574059787759,0.926505455236503
logistic_regression,0.8477305060542474,0.879611830138038,0.9323680743541365,0.8327732895455083,0.9207436343102541
gradient_boosting_classifier,0.8315073596867979,0.9002043975340371,0.8964597046696307,0.9041505268957063,0.925478422361771
dummy_most_frequent,0.5,0.8190798152176497,0.6940836138240121,1.0,
