repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
QuivrHQ__quivr,5,38949,3714,0,11,139,7,114,113,107,83,105,2023,9
oven-sh__bun,20,87520,4074,0,14,390,3,45,47,39,83,105,2022,11
PaddlePaddle__PaddleOCR,68,70925,9839,0,7,9,5,17,13,11,81,105,2025,12
umami-software__umami,38,35302,6480,0,12,247,8,26,25,16,54,105,2023,8
reflex-dev__reflex,31,28144,1691,0,8,76,1,97,83,76,46,105,2025,4
infiniflow__ragflow,19,73523,8152,0,39,219,23,251,246,221,285,104,2025,6
ggml-org__llama.cpp,7,95602,15021,0,67,165,42,192,194,160,174,104,2023,9
huggingface__diffusers,6,32824,6782,0,49,219,34,228,206,186,169,104,2022,10
PaddlePaddle__PaddleOCR,7,70925,9839,0,6,71,0,60,54,47,162,104,2020,11
harry0703__MoneyPrinterTurbo,1,49577,7035,0,7,77,7,6,6,5,128,104,2024,3
vitejs__vite,34,78282,7842,0,33,80,17,104,103,74,126,104,2023,1
daytonaio__daytona,2,59541,5058,1,21,202,21,148,141,125,125,104,2024,3
sxyazi__yazi,14,33016,710,0,23,59,13,57,62,56,108,104,2024,8
biomejs__biome,16,23775,868,0,32,147,7,170,179,164,102,104,2024,10
element-plus__element-plus,60,27169,19859,0,36,80,14,95,110,84,102,104,2025,6
backstage__backstage,59,32641,7099,0,82,1023,21,433,426,360,100,104,2024,11
oraios__serena,6,20520,1379,0,37,164,33,86,87,55,91,104,2025,8
OpenHands__OpenHands,19,68077,8482,0,33,152,14,358,335,219,90,104,2025,9
coollabsio__coolify,44,50871,3650,0,31,481,24,77,53,40,84,104,2024,8
actualbudget__actual,39,25090,2183,0,35,106,22,108,98,80,81,104,2025,6
openimsdk__open-im-server,35,15689,2788,0,9,59,1,92,92,68,74,104,2024,3
zhayujie__chatgpt-on-wechat,25,41351,9745,0,6,24,4,17,15,11,61,104,2024,8
langchain-ai__langchain,36,127113,20906,0,67,248,44,319,360,279,53,104,2025,9
labuladong__fucking-algorithm,32,132689,23706,0,1,12,0,3,2,2,2,104,2022,9
mihonapp__mihon,1,18701,961,1,22,142,22,64,47,35,243,103,2024,1
ollama__ollama,6,163117,14641,0,48,264,39,147,133,107,228,103,2023,11
dataease__dataease,45,23425,4028,0,10,604,0,299,300,296,196,103,2024,10
vitejs__vite,16,78282,7842,0,45,121,22,125,116,95,167,103,2021,7
astral-sh__ruff,26,45873,1786,0,33,212,12,230,231,212,143,103,2024,9
clash-verge-rev__clash-verge-rev,2,98007,7152,7,5,86,3,12,12,10,140,103,2023,12
tailscale__tailscale,37,28560,2292,0,27,129,5,133,139,125,137,103,2023,1
lobehub__lobehub,31,72501,14652,0,21,0,5,409,379,292,127,103,2025,11
ToolJet__ToolJet,50,37448,4952,0,30,607,5,242,253,213,125,103,2025,4
AppFlowy-IO__AppFlowy,40,68177,4901,0,17,163,9,167,168,160,123,103,2024,9
MHSanaei__3x-ui,26,30696,5968,0,10,83,6,42,41,31,116,103,2025,3
eyaltoledano__claude-task-master,3,25575,2432,0,10,137,6,96,89,45,115,103,2025,5
dataease__dataease,19,23425,4028,0,10,559,2,169,169,169,114,103,2022,8
Textualize__textual,26,34384,1102,0,10,458,3,119,113,107,113,103,2023,5
vitejs__vite,40,78282,7842,0,35,95,21,102,103,80,109,103,2023,7
heroui-inc__heroui,39,28189,2061,0,15,49,7,91,63,47,107,103,2024,6
ReVanced__revanced-manager,8,25956,1031,0,7,62,2,11,11,7,107,103,2022,10
backstage__backstage,25,32641,7099,0,72,1373,30,441,452,386,106,103,2022,1
krayin__laravel-crm,4,21522,1380,0,6,253,5,102,102,101,106,103,2021,9
backstage__backstage,62,32641,7099,0,71,616,14,208,183,141,103,103,2025,2
actualbudget__actual,41,25090,2183,1,29,116,15,119,126,99,101,103,2025,8
helix-editor__helix,44,43032,3318,1,44,97,22,110,108,89,101,103,2024,1
ghostty-org__ghostty,32,44251,1695,0,28,298,18,96,98,84,100,103,2024,10
medusajs__medusa,64,32086,4074,0,33,152,19,170,174,148,96,103,2025,4
langgenius__dify,9,129998,20242,0,23,94,11,99,102,95,91,103,2023,12
PaddlePaddle__PaddleOCR,65,70925,9839,1,11,13,8,26,59,13,85,103,2025,9
backstage__backstage,40,32641,7099,0,100,911,30,285,301,250,82,103,2023,4
element-plus__element-plus,65,27169,19859,0,38,125,15,163,207,128,80,103,2025,11
vitest-dev__vitest,23,15983,1650,0,26,89,18,100,96,80,77,103,2023,10
LazyVim__LazyVim,16,25133,1741,1,40,142,25,74,86,68,74,103,2024,3
crewAIInc__crewAI,18,44446,5959,0,30,115,18,162,159,58,71,103,2025,3
louislam__uptime-kuma,32,83039,7427,0,12,46,9,30,19,6,71,103,2024,2
projectdiscovery__nuclei,21,27114,3168,0,11,125,1,42,46,44,61,103,2021,12
huggingface__datasets,32,21197,3106,2,19,61,11,63,98,55,57,103,2022,10
guidance-ai__guidance,13,21319,1148,0,9,240,6,19,23,9,46,103,2023,11
chatchat-space__Langchain-Chatchat,14,37308,6140,0,16,49,8,44,31,26,300,102,2024,4
logseq__logseq,30,41115,2455,0,18,279,8,80,81,77,215,102,2022,10
microsoft__autogen,6,54714,8239,0,42,104,22,150,137,110,200,102,2024,1
ggml-org__llama.cpp,8,95602,15021,0,54,149,28,169,172,134,189,102,2023,10
hyprwm__Hyprland,16,33974,1574,0,17,70,10,19,20,19,167,102,2023,6
anomalyco__sst,50,25511,2023,0,24,240,18,4,3,0,164,102,2024,9
element-plus__element-plus,29,27169,19859,0,24,121,8,219,160,121,157,102,2022,11
oven-sh__bun,27,87520,4074,0,28,224,16,161,170,145,157,102,2023,6
astral-sh__ty,2,17325,216,4,9,15,1,21,18,15,154,102,2025,6
dataease__dataease,28,23425,4028,0,11,178,1,111,112,110,141,102,2023,5
bevyengine__bevy,70,44695,4396,0,76,180,23,240,217,179,140,102,2025,10
LAION-AI__Open-Assistant,4,37449,3305,0,48,375,21,235,234,213,131,102,2023,3
PostHog__posthog,55,31333,2298,0,40,581,5,637,665,590,128,102,2024,7
ghostty-org__ghostty,35,44251,1695,0,79,571,53,257,255,214,118,102,2025,1
withastro__astro,33,56986,3155,0,38,227,17,167,173,154,116,102,2023,11
ghostty-org__ghostty,33,44251,1695,0,30,282,18,108,97,87,114,102,2024,11
usebruno__bruno,35,41017,2134,0,23,106,7,100,101,71,109,102,2025,7
lobehub__lobehub,10,72501,14652,0,21,0,12,76,76,58,107,102,2024,2
MaaAssistantArknights__MaaAssistantArknights,42,19628,2497,0,23,210,3,97,89,77,101,102,2024,12
fishaudio__fish-speech,10,24979,2084,0,12,43,6,34,34,32,93,102,2024,7
vitest-dev__vitest,48,15983,1650,1,31,124,16,122,132,112,90,102,2025,11
ToolJet__ToolJet,54,37448,4952,1,17,229,1,296,350,246,56,102,2025,8
marticliment__UniGetUI,33,21247,720,0,5,243,2,29,31,28,39,102,2024,2
juspay__hyperswitch,24,40442,4564,0,40,192,3,182,190,180,230,101,2024,9
bevyengine__bevy,55,44695,4396,0,90,201,21,229,242,204,209,101,2024,7
PaddlePaddle__PaddleOCR,10,70925,9839,1,11,133,2,79,76,67,169,101,2021,2
carbon-language__carbon-lang,28,33638,1525,0,61,131,53,190,166,131,165,101,2022,7
DayuanJiang__next-ai-draw-io,10,21506,2279,0,26,281,25,263,254,234,159,101,2025,12
PaddlePaddle__PaddleOCR,67,70925,9839,1,6,28,2,50,39,32,155,101,2025,11
pola-rs__polars,31,37486,2630,0,17,150,5,157,156,150,142,101,2022,11
hcengineering__platform,46,24470,1707,0,15,212,2,210,212,200,138,101,2025,5
calcom__cal.com,50,40283,11985,0,40,282,8,371,383,267,133,101,2025,4
helix-editor__helix,25,43032,3318,0,54,152,30,136,122,102,133,101,2022,6
astral-sh__ruff,9,45873,1786,0,30,157,17,182,166,157,132,101,2023,4
janhq__jan,2,40538,2529,0,11,135,4,71,68,57,132,101,2023,9
biomejs__biome,10,23775,868,0,43,224,25,235,222,207,131,101,2024,4
calcom__cal.com,40,40283,11985,0,35,140,10,206,179,138,129,101,2024,6
lobehub__lobehub,26,72501,14652,0,21,0,4,117,117,89,128,101,2025,6
upstash__context7,8,46576,2209,0,11,66,8,32,29,17,113,101,2025,10
biomejs__biome,23,23775,868,0,28,186,8,196,195,185,107,101,2025,5
DioxusLabs__dioxus,39,34809,1553,0,20,245,12,89,91,83,107,101,2024,3
OpenHands__OpenHands,22,68077,8482,0,36,186,20,276,292,208,103,101,2025,12
helix-editor__helix,46,43032,3318,0,70,136,29,134,135,118,103,101,2024,3
paperless-ngx__paperless-ngx,23,36814,2340,0,14,139,8,117,119,100,101,101,2023,12
SimplifyJobs__Summer2026-Internships,45,43476,3165,2,8,0,4,2,2,1,98,101,2024,1
backstage__backstage,24,32641,7099,0,87,1152,26,307,297,255,92,101,2021,12
OpenBB-finance__OpenBB,22,60495,5898,0,23,110,6,114,124,112,88,101,2022,9
chroma-core__chroma,12,26227,2068,4,10,58,5,64,67,49,63,101,2023,9
langchain-ai__langchain,32,127113,20906,0,61,198,40,245,238,200,49,101,2025,5
zai-org__ChatGLM-6B,6,41235,5210,35,0,0,0,4,0,0,26,101,2023,8
pola-rs__polars,62,37486,2630,0,25,118,5,152,142,119,190,100,2025,6
PostHog__posthog,25,31333,2298,0,23,290,3,338,337,292,173,100,2022,1
invoke-ai__InvokeAI,7,26783,2776,0,34,790,17,198,198,170,158,100,2023,2
mastra-ai__mastra,8,21298,1582,0,50,417,32,501,455,369,157,100,2025,3
tailscale__tailscale,36,28560,2292,0,22,132,4,132,126,119,151,100,2022,12
SigNoz__signoz,56,25821,1973,0,16,92,2,148,132,104,136,100,2025,8
juspay__hyperswitch,38,40442,4564,1,51,220,3,264,247,225,134,100,2025,11
sgl-project__sglang,8,23658,4525,0,32,241,21,267,269,242,129,100,2024,8
mattermost-community__focalboard,18,25871,2485,0,35,204,9,154,153,142,127,100,2022,3
appsmithorg__appsmith,61,39114,4460,0,20,73,0,117,122,89,126,100,2025,6
hyprwm__Hyprland,6,33974,1574,0,15,335,8,27,27,24,121,100,2022,8
docling-project__docling,11,53867,3645,2,20,34,12,51,39,29,109,100,2025,5
microsoft__graphrag,6,31026,3271,1,17,71,11,116,124,72,108,100,2024,8
astral-sh__ruff,38,45873,1786,0,49,327,18,362,353,309,105,100,2025,9
PaddlePaddle__PaddleOCR,51,70925,9839,0,17,34,8,49,53,37,104,100,2024,7
RSSNext__Folo,11,37270,1964,0,11,289,4,88,88,84,98,100,2025,2
QwenLM__Qwen3,6,26651,1889,12,2,5,1,2,1,1,97,100,2024,7
OpenListTeam__OpenList,5,20899,1758,7,13,23,5,36,26,23,83,100,2025,10
usememos__memos,25,57087,4135,1,12,157,5,26,23,20,83,100,2023,12
jj-vcs__jj,61,25940,926,0,37,256,13,171,169,146,80,100,2025,12
neondatabase__neon,38,20986,886,0,21,166,2,205,212,170,79,100,2024,4
waydabber__BetterDisplay,23,29870,550,0,1,23,0,0,0,0,77,100,2023,8
waydabber__BetterDisplay,7,29870,550,1,1,30,0,2,2,0,59,100,2022,4
OpenHands__OpenHands,21,68077,8482,0,26,138,10,178,213,137,49,100,2025,11
janhq__jan,21,40538,2529,4,5,12,3,31,33,26,49,100,2025,4
QwikDev__qwik,37,21931,1380,0,37,154,21,185,191,170,47,100,2024,5
backstage__backstage,72,32641,7099,0,53,588,17,272,266,212,43,100,2025,12
deepseek-ai__DeepSeek-R1,4,91850,11772,20,1,3,1,1,15,3,40,100,2025,4
hpcaitech__ColossalAI,18,41347,4533,0,47,166,19,195,184,167,210,99,2023,3
haotian-liu__LLaVA,7,24473,2731,0,22,102,19,39,24,15,202,99,2023,10
tailscale__tailscale,46,28560,2292,0,34,218,4,243,222,204,190,99,2023,10
opendatalab__MinerU,14,54771,4540,0,4,97,1,38,35,31,178,99,2025,3
binary-husky__gpt_academic,1,70116,8395,0,20,273,20,33,29,18,178,99,2023,3
hyprwm__Hyprland,15,33974,1574,0,23,105,13,34,35,31,154,99,2023,5
lobehub__lobehub,9,72501,14652,0,16,0,8,93,88,75,149,99,2024,1
RVC-Boss__GPT-SoVITS,8,55190,6028,2,10,94,3,41,44,32,148,99,2024,8
clash-verge-rev__clash-verge-rev,4,98007,7152,0,3,61,1,9,8,4,144,99,2024,2
PostHog__posthog,27,31333,2298,0,22,337,1,405,394,342,143,99,2022,3
eyaltoledano__claude-task-master,4,25575,2432,4,17,151,11,114,101,60,132,99,2025,6
PostHog__posthog,61,31333,2298,0,56,720,12,839,835,723,122,99,2025,1
backstage__backstage,51,32641,7099,0,95,1096,39,444,432,339,119,99,2024,3
marticliment__UniGetUI,38,21247,720,0,10,345,5,80,79,56,117,99,2024,7
bevyengine__bevy,35,44695,4396,0,65,142,28,221,186,0,116,99,2022,11
janhq__jan,16,40538,2529,0,8,292,3,115,118,116,108,99,2024,11
heroui-inc__heroui,47,28189,2061,0,5,18,2,58,78,70,105,99,2025,2
SagerNet__sing-box,33,30738,3590,2,4,28,1,23,22,13,103,99,2025,2
usememos__memos,27,57087,4135,0,17,105,10,29,26,19,102,99,2024,2
langgenius__dify,3,129998,20242,0,16,113,9,120,122,114,101,99,2023,6
Dokploy__dokploy,21,30796,2102,0,26,249,16,105,85,67,95,99,2025,12
fastfetch-cli__fastfetch,40,20244,692,0,22,279,18,43,43,37,95,99,2024,5
rustdesk__rustdesk,38,107767,16025,0,28,428,10,133,129,118,91,99,2023,10
immersive-translate__immersive-translate,13,16969,979,0,1,26,0,0,0,0,90,99,2023,12
facebook__lexical,19,22980,2090,0,27,144,14,170,158,144,86,99,2022,6
backstage__backstage,65,32641,7099,0,67,500,17,207,221,164,80,99,2025,5
OpenBB-finance__OpenBB,4,60495,5898,0,26,771,20,140,148,128,79,99,2021,3
AppFlowy-IO__AppFlowy,49,68177,4901,6,3,19,0,29,24,21,57,99,2025,6
anoma__anoma,45,34055,4113,0,7,367,1,172,116,67,39,99,2024,10
WerWolv__ImHex,47,52654,2338,11,4,20,1,15,17,15,18,99,2024,9
Flowseal__zapret-discord-youtube,6,22959,1894,5,3,15,1,5,6,4,310,98,2025,3
Aider-AI__aider,23,40837,3904,0,12,1295,10,47,39,19,241,98,2025,3
tailscale__tailscale,58,28560,2292,0,28,135,4,155,146,130,201,98,2024,10
hyprwm__Hyprland,17,33974,1574,0,24,135,16,57,54,48,172,98,2023,7
helix-editor__helix,56,43032,3318,0,51,134,24,128,112,82,141,98,2025,1
backstage__backstage,13,32641,7099,0,49,1161,22,295,297,276,140,98,2021,1
unionlabs__union,2,74303,3844,0,6,291,0,93,90,81,132,98,2023,6
clash-verge-rev__clash-verge-rev,15,98007,7152,11,4,22,2,6,6,3,132,98,2025,1
biomejs__biome,6,23775,868,0,49,225,24,244,236,223,130,98,2023,12
langgenius__dify,2,129998,20242,0,15,128,15,149,145,135,127,98,2023,5
ToolJet__ToolJet,2,37448,4952,0,3,315,2,19,19,18,121,98,2021,4
mozilla-ai__llamafile,4,23736,1267,0,18,112,15,21,19,15,114,98,2023,12
janhq__jan,3,40538,2529,0,16,485,7,154,154,149,112,98,2023,10
XiaoMi__ha_xiaomi_home,5,21438,1131,6,9,31,5,44,43,31,106,98,2025,1
danny-avila__LibreChat,14,34029,6858,0,16,109,8,123,123,99,102,98,2024,3
OpenListTeam__OpenList,6,20899,1758,2,15,45,6,44,51,45,99,98,2025,11
withastro__astro,41,56986,3155,0,39,159,12,104,105,94,96,98,2024,7
louislam__uptime-kuma,53,83039,7427,0,22,42,19,50,67,41,93,98,2025,11
neondatabase__neon,50,20986,886,0,34,256,3,325,328,278,77,98,2025,4
medusajs__medusa,44,32086,4074,0,23,138,9,156,146,132,76,98,2023,8
langchain-ai__langchain,33,127113,20906,0,55,167,35,208,204,168,69,98,2025,6
stanfordnlp__dspy,25,32333,2639,0,19,45,8,48,40,29,49,98,2025,1
QwikDev__qwik,38,21931,1380,0,24,137,10,151,147,140,42,98,2024,6
type-challenges__type-challenges,24,47676,5213,0,17,27,12,29,27,23,1506,97,2022,6
ultralytics__ultralytics,32,53471,10242,0,26,167,17,197,197,167,255,97,2025,4
zed-industries__zed,26,75691,7024,0,8,522,0,115,116,111,229,97,2023,3
cline__cline,11,58247,5819,0,52,312,29,407,369,311,228,97,2025,5
RVC-Project__Retrieval-based-Voice-Conversion-WebUI,5,34511,4904,0,19,63,15,52,52,38,203,97,2023,7
CherryHQ__cherry-studio,8,40044,3689,0,11,126,9,18,16,15,179,97,2024,12
feder-cr__Jobs_Applier_AI_Agent_AIHawk,3,29363,4467,,0,0,0,77,74,47,161,97,2024,10
slint-ui__slint,53,21792,819,0,19,256,8,172,171,151,150,97,2024,9
microsoft__autogen,18,54714,8239,0,37,238,18,211,210,186,146,97,2025,1
lizongying__my-tv,2,32262,3623,2,1,30,0,2,2,0,136,97,2024,1
yt-dlp__yt-dlp,11,147662,11958,0,40,161,24,91,86,77,124,97,2021,8
activepieces__activepieces,28,20913,3320,0,28,686,9,180,195,176,116,97,2025,3
usebruno__bruno,36,41017,2134,0,18,85,5,105,83,57,113,97,2025,8
dockur__windows,3,50064,4049,0,2,10,1,14,13,10,110,97,2024,3
ToolJet__ToolJet,6,37448,4952,0,17,170,11,119,116,105,105,97,2021,8
backstage__backstage,20,32641,7099,0,74,882,30,228,229,203,100,97,2021,8
vitejs__vite,47,78282,7842,0,26,87,13,112,101,76,100,97,2024,2
vbenjs__vue-vben-admin,12,31565,8595,,0,0,0,27,26,17,99,97,2021,6
nomic-ai__gpt4all,8,77151,8320,0,11,121,5,52,64,53,80,97,2023,10
Grasscutters__Grasscutter,4,16749,4383,0,32,157,18,88,90,68,79,97,2022,7
makeplane__plane,14,45853,3564,0,27,416,7,264,261,235,70,97,2023,12
fosrl__pangolin,13,19161,577,0,16,356,10,80,78,55,69,97,2025,9
remix-run__remix,32,32392,2732,0,34,119,19,114,135,91,66,97,2023,5
type-challenges__type-challenges,34,47676,5213,0,4,6,1,7,8,3,1104,96,2023,4
tailscale__tailscale,50,28560,2292,0,35,135,7,145,141,125,167,96,2024,2
bevyengine__bevy,66,44695,4396,0,72,218,15,263,266,214,153,96,2025,6
tailscale__tailscale,69,28560,2292,0,37,205,5,230,231,203,152,96,2025,9
microsoft__JARVIS,2,24556,2065,9,18,63,16,38,31,19,141,96,2023,4
farion1231__cc-switch,5,19405,1214,0,13,121,9,43,38,34,139,96,2025,12
PrefectHQ__fastmcp,8,23066,1767,0,29,656,25,196,201,187,132,96,2025,6
lobehub__lobehub,19,72501,14652,0,21,0,5,112,99,81,128,96,2024,11
sansan0__TrendRadar,8,46961,22298,0,1,30,0,172,113,0,117,96,2025,11
danny-avila__LibreChat,17,34029,6858,0,17,64,8,76,79,64,115,96,2024,6
OpenListTeam__OpenList,4,20899,1758,0,13,27,4,42,36,29,115,96,2025,9
vbenjs__vue-vben-admin,58,31565,8595,0,18,67,13,130,137,62,114,96,2025,4
backstage__backstage,45,32641,7099,0,83,1262,26,454,424,366,112,96,2023,9
Mintplex-Labs__anything-llm,23,54854,5907,0,6,55,4,57,61,37,109,96,2025,4
filamentphp__filament,47,29316,4088,0,94,679,49,196,194,162,107,96,2024,1
CodePhiliaX__Chat2DB,3,25160,2742,1,8,440,2,26,24,21,106,96,2023,8
pola-rs__polars,21,37486,2630,0,10,195,3,161,164,161,104,96,2022,1
payloadcms__payload,53,40705,3392,0,34,158,17,196,186,157,103,96,2025,5
tw93__Mole,4,36555,991,0,17,531,16,35,35,20,98,96,2025,12
agno-agi__agno,38,38063,5037,0,42,134,24,163,174,138,95,96,2025,6
tldraw__tldraw,48,45295,2972,0,13,93,2,118,112,104,83,96,2025,4
immersive-translate__immersive-translate,14,16969,979,0,1,24,0,0,0,0,82,96,2024,1
ultralytics__yolov5,45,56827,17432,1,13,28,6,39,50,29,81,96,2024,1
bmad-code-org__BMAD-METHOD,8,37167,4618,0,13,125,7,74,73,31,64,96,2025,11
stanfordnlp__dspy,23,32333,2639,0,24,147,9,90,122,71,53,96,2024,11
dockur__windows,21,50064,4049,0,5,35,3,41,44,35,40,96,2025,9
bluesky-social__social-app,30,17715,2621,1,62,254,40,375,290,240,448,95,2024,11
dotnet__maui,18,23180,1913,1,20,236,2,139,136,127,247,95,2021,10
infiniflow__ragflow,9,73523,8152,0,26,218,14,231,231,218,180,95,2024,8
PaddlePaddle__PaddleOCR,66,70925,9839,0,12,28,4,39,33,30,156,95,2025,10
PostHog__posthog,18,31333,2298,0,20,294,2,244,235,210,155,95,2021,6
lobehub__lobehub,28,72501,14652,0,27,0,6,204,209,167,155,95,2025,8
heroui-inc__heroui,38,28189,2061,0,14,72,7,71,57,49,139,95,2024,5
warpdotdev__Warp,21,25963,617,1,2,3,1,1,1,1,138,95,2023,3
better-auth__better-auth,6,26398,2283,0,63,686,60,188,181,161,137,95,2024,10
oven-sh__bun,23,87520,4074,0,37,294,28,133,131,122,136,95,2023,2
vitejs__vite,18,78282,7842,0,57,193,32,129,137,118,126,95,2021,9
backstage__backstage,48,32641,7099,0,75,668,24,270,255,196,124,95,2023,12
backstage__backstage,29,32641,7099,0,85,1092,44,417,415,346,121,95,2022,5
chatchat-space__Langchain-Chatchat,18,37308,6140,0,9,18,4,26,25,21,115,95,2024,8
backstage__backstage,30,32641,7099,0,98,1323,48,474,485,418,112,95,2022,6
payloadcms__payload,51,40705,3392,0,33,218,15,289,228,209,111,95,2025,3
pola-rs__polars,23,37486,2630,0,12,115,7,119,116,114,111,95,2022,3
mantinedev__mantine,34,30576,2245,1,28,166,23,38,41,32,111,95,2023,10
backstage__backstage,14,32641,7099,0,65,1206,27,292,276,253,110,95,2021,2
langflow-ai__langflow,29,144963,8478,0,29,238,9,342,322,252,109,95,2025,6
louislam__uptime-kuma,27,83039,7427,2,15,61,7,46,41,35,106,95,2023,9
ollama__ollama,3,163117,14641,0,17,268,10,93,91,83,104,95,2023,8
SagerNet__sing-box,22,30738,3590,1,3,31,1,11,8,3,97,95,2024,3
microsoft__playwright-mcp,3,27539,2228,0,9,66,6,92,94,66,96,95,2025,5
78__xiaozhi-esp32,10,24133,5162,0,22,79,12,71,85,41,93,95,2025,5
NvChad__NvChad,15,27891,2276,0,15,86,10,47,47,34,93,95,2022,5
actualbudget__actual,36,25090,2183,0,24,138,14,143,148,122,92,95,2025,3
labring__FastGPT,21,27142,6927,0,12,79,5,107,104,92,91,95,2024,10
OpenHands__OpenHands,6,68077,8482,0,22,336,5,388,378,332,87,95,2024,8
backstage__backstage,69,32641,7099,0,75,617,22,195,214,165,85,95,2025,9
biomejs__biome,22,23775,868,0,22,165,8,179,179,163,81,95,2025,4
microsoft__playwright-mcp,7,27539,2228,0,10,35,6,42,46,35,76,95,2025,9
vitejs__vite,59,78282,7842,0,27,89,10,88,124,76,75,95,2025,2
virattt__ai-hedge-fund,7,45855,8005,0,9,188,8,33,62,9,39,95,2025,5
vllm-project__vllm,6,70898,13607,0,27,50,23,68,58,49,213,94,2023,7
bevyengine__bevy,47,44695,4396,0,75,163,28,264,222,164,179,94,2023,11
vitejs__vite,20,78282,7842,0,48,123,24,145,126,102,170,94,2021,11
RVC-Project__Retrieval-based-Voice-Conversion-WebUI,6,34511,4904,0,17,171,8,63,58,37,166,94,2023,8
mckaywrigley__chatbot-ui,1,33041,9470,,0,0,0,160,149,110,165,94,2023,3
langflow-ai__langflow,27,144963,8478,0,34,194,10,323,259,203,138,94,2025,4
immich-app__immich,18,93083,4941,0,39,154,21,160,162,141,132,94,2023,7
bevyengine__bevy,68,44695,4396,0,67,241,15,305,293,241,129,94,2025,8
biomejs__biome,15,23775,868,0,35,221,15,241,224,218,129,94,2024,9
labring__FastGPT,27,27142,6927,0,17,106,2,200,200,176,122,94,2025,4
Mintplex-Labs__anything-llm,9,54854,5907,0,4,71,2,64,62,58,120,94,2024,2
tailscale__tailscale,29,28560,2292,0,12,63,1,65,59,56,110,94,2022,5
coollabsio__coolify,52,50871,3650,0,24,238,16,85,57,40,108,94,2025,4
backstage__backstage,9,32641,7099,0,67,983,34,380,380,343,105,94,2020,9
element-plus__element-plus,53,27169,19859,0,31,90,7,129,130,93,102,94,2024,11
vbenjs__vue-vben-admin,55,31565,8595,4,5,43,3,75,72,38,102,94,2025,1
QwenLM__qwen-code,6,19250,1681,0,16,163,11,62,61,47,102,94,2025,11
louislam__uptime-kuma,31,83039,7427,0,46,66,24,36,33,18,101,94,2024,1
vitejs__vite,46,78282,7842,1,29,101,14,115,115,95,97,94,2024,1
filamentphp__filament,49,29316,4088,0,74,574,33,155,155,126,88,94,2024,3
SimplifyJobs__Summer2026-Internships,44,43476,3165,0,16,0,8,3,4,1,85,94,2023,12
microsoft__playwright-mcp,5,27539,2228,0,11,68,6,107,114,68,83,94,2025,7
ultralytics__yolov5,41,56827,17432,0,6,12,3,20,18,12,81,94,2023,9
AppFlowy-IO__AppFlowy,35,68177,4901,0,23,128,12,133,139,125,80,94,2024,4
langchain-ai__langchain,34,127113,20906,0,54,288,42,421,374,286,79,94,2025,7
QwikDev__qwik,28,21931,1380,0,38,103,19,105,117,104,72,94,2023,8
ReVanced__revanced-manager,44,25956,1031,91,0,0,0,24,30,10,63,94,2025,10
jingyaogong__minimind,10,39765,4806,0,1,26,0,10,3,0,59,94,2025,4
waydabber__BetterDisplay,47,29870,550,4,1,5,0,0,0,0,48,94,2025,8
krayin__laravel-crm,44,21522,1380,0,5,253,0,44,118,101,34,94,2025,1
Anduin2017__HowToCook,25,98025,10826,0,179,1054,177,287,250,205,247,93,2022,2
ultralytics__yolov5,2,56827,17432,0,15,229,14,24,20,13,223,93,2020,6
ggml-org__llama.cpp,11,95602,15021,0,94,295,59,262,261,227,204,93,2024,1
logseq__logseq,29,41115,2455,0,22,511,7,121,122,116,196,93,2022,9
anomalyco__sst,45,25511,2023,0,12,230,8,8,9,8,180,93,2024,4
unionlabs__union,14,74303,3844,0,10,1039,1,208,197,175,145,93,2024,6
anomalyco__sst,48,25511,2023,0,27,311,17,11,10,8,139,93,2024,7
usebruno__bruno,39,41017,2134,1,27,128,11,141,120,88,137,93,2025,11
gethomepage__homepage,2,28525,1788,0,40,667,39,33,31,25,137,93,2022,9
OpenBB-finance__OpenBB,21,60495,5898,0,21,103,5,130,122,111,124,93,2022,8
vbenjs__vue-vben-admin,51,31565,8595,0,20,91,8,121,120,92,119,93,2024,9
vitejs__vite,45,78282,7842,0,17,55,7,89,66,49,118,93,2023,12
Mintplex-Labs__anything-llm,10,54854,5907,1,6,49,2,38,37,34,118,93,2024,3
modular__modular,26,25622,2770,0,87,1199,17,141,140,16,112,93,2025,5
fosrl__pangolin,9,19161,577,0,9,139,5,13,11,8,111,93,2025,5
element-plus__element-plus,9,27169,19859,0,16,65,7,76,68,64,109,93,2021,3
backstage__backstage,36,32641,7099,0,95,1143,39,377,383,298,105,93,2022,12
actualbudget__actual,28,25090,2183,0,34,143,20,114,106,96,104,93,2024,7
hyprwm__Hyprland,10,33974,1574,0,13,158,6,32,29,22,103,93,2022,12
SagerNet__sing-box,39,30738,3590,2,10,43,4,13,17,12,103,93,2025,8
AlistGo__alist,38,49029,7988,0,12,59,8,59,52,49,100,93,2024,1
iDvel__rime-ice,28,15752,1006,1,8,60,7,15,14,9,97,93,2023,4
danny-avila__LibreChat,15,34029,6858,0,29,92,23,125,117,91,95,93,2024,4
SagerNet__sing-box,16,30738,3590,0,5,71,3,12,9,2,95,93,2023,9
bevyengine__bevy,72,44695,4396,0,80,237,19,240,280,237,94,93,2025,12
valinet__ExplorerPatcher,3,31603,1282,0,3,83,2,5,4,2,94,93,2021,10
