repo,repo_age_months,stars,forks,days_since_last_commit,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,year,month
zed-industries__zed,56,75691,7024,0,145,767,76,908,940,769,748,607,2025,9
zed-industries__zed,49,75691,7024,0,103,821,52,1009,974,860,439,604,2025,2
ultralytics__ultralytics,33,53471,10242,0,20,152,11,197,214,152,222,599,2025,5
langgenius__dify,19,129998,20242,0,99,374,43,457,464,377,602,591,2024,10
langgenius__dify,27,129998,20242,0,84,248,30,318,303,261,655,582,2025,6
ultralytics__ultralytics,23,53471,10242,0,26,100,15,148,135,113,468,580,2024,7
vllm-project__vllm,35,70898,13607,0,319,799,111,1362,1295,799,472,578,2025,12
whyour__qinglong,19,19238,3234,0,3,81,1,3,5,3,28,574,2022,9
zen-browser__desktop,6,40244,1342,0,28,575,23,71,65,51,739,570,2024,8
vllm-project__vllm,34,70898,13607,0,321,902,127,1263,1237,902,589,568,2025,11
zed-industries__zed,46,75691,7024,0,110,559,58,634,659,574,603,563,2024,11
zen-browser__desktop,11,40244,1342,0,13,555,7,31,30,21,504,560,2025,1
vllm-project__vllm,33,70898,13607,0,307,872,109,1326,1257,872,578,555,2025,10
CherryHQ__cherry-studio,13,40044,3689,0,56,476,30,401,394,323,677,552,2025,5
zed-industries__zed,52,75691,7024,0,125,913,63,1095,1074,973,633,552,2025,5
RVC-Project__Retrieval-based-Voice-Conversion-WebUI,14,34511,4904,59,0,0,0,25,37,34,58,552,2024,4
zed-industries__zed,42,75691,7024,0,126,788,76,872,872,773,863,551,2024,7
appsmithorg__appsmith,35,39114,4460,0,64,307,7,359,343,285,505,548,2023,4
mckaywrigley__chatbot-ui,11,33041,9470,0,19,136,19,70,176,45,198,548,2024,1
vllm-project__vllm,26,70898,13607,0,188,661,91,958,853,663,763,545,2025,3
ChatGPTNextWeb__NextChat,2,87336,60339,0,47,387,40,261,247,91,566,545,2023,4
Significant-Gravitas__AutoGPT,7,181926,46222,0,59,683,49,228,254,142,39,541,2023,9
ultralytics__ultralytics,21,53471,10242,0,28,116,15,151,157,128,517,540,2024,5
cline__cline,12,58247,5819,0,45,252,22,324,379,255,259,539,2025,6
element-plus__element-plus,62,27169,19859,0,30,136,11,202,187,141,124,539,2025,8
Flowseal__zapret-discord-youtube,11,22959,1894,2,1,5,0,4,2,0,418,534,2025,8
openai__codex,9,61508,8163,0,67,427,42,613,619,427,523,531,2025,12
oven-sh__bun,31,87520,4074,0,74,221,53,183,180,145,408,530,2023,10
dotnet__maui,23,23180,1913,0,36,385,10,334,331,270,351,528,2022,3
langgenius__dify,18,129998,20242,0,97,320,41,391,370,323,555,527,2024,9
openai__codex,7,61508,8163,0,48,391,28,683,796,397,742,524,2025,10
RooCodeInc__Roo-Code,12,22341,2998,0,26,221,10,554,644,217,255,524,2025,9
Flowseal__zapret-discord-youtube,14,22959,1894,29,0,0,0,7,3,0,476,523,2025,11
appsmithorg__appsmith,47,39114,4460,0,40,340,3,355,346,290,457,522,2024,4
vllm-project__vllm,32,70898,13607,0,301,974,122,1406,1332,975,577,519,2025,9
zed-industries__zed,54,75691,7024,0,107,704,45,869,863,760,568,516,2025,7
langchain-ai__langchain,14,127113,20906,0,196,506,121,759,724,508,519,514,2023,11
CherryHQ__cherry-studio,17,40044,3689,0,39,773,16,271,278,225,450,513,2025,9
PaddlePaddle__PaddleOCR,28,70925,9839,0,17,329,5,125,125,108,248,513,2022,8
twitter__the-algorithm,2,72766,13271,1,2,21,2,338,170,2,543,509,2023,4
immich-app__immich,44,93083,4941,0,39,293,16,391,337,283,330,509,2025,9
langgenius__dify,17,129998,20242,0,112,339,55,390,400,340,481,508,2024,8
langchain-ai__langchain,13,127113,20906,0,228,706,155,841,800,685,454,507,2023,10
invoke-ai__InvokeAI,12,26783,2776,0,25,1380,10,269,265,236,188,506,2023,7
anomalyco__opencode,8,108877,10807,0,115,1050,89,452,360,228,793,504,2025,11
ultralytics__ultralytics,11,53471,10242,0,30,100,25,118,129,110,423,504,2023,7
vllm-project__vllm,27,70898,13607,0,222,666,112,924,860,667,719,503,2025,4
zed-industries__zed,55,75691,7024,0,110,807,51,955,931,813,557,503,2025,8
ultralytics__ultralytics,14,53471,10242,1,3,23,1,72,63,42,381,502,2023,10
langgenius__dify,20,129998,20242,0,108,358,51,437,433,358,515,499,2024,11
AUTOMATIC1111__stable-diffusion-webui,10,160723,29984,0,46,536,30,176,201,122,440,498,2023,5
langgenius__dify,21,129998,20242,0,87,356,35,447,409,355,477,497,2024,12
langchain-ai__langchain,15,127113,20906,0,175,491,120,704,639,508,434,495,2023,12
vllm-project__vllm,25,70898,13607,0,158,489,64,733,764,490,654,494,2025,2
Flowseal__zapret-discord-youtube,12,22959,1894,9,3,17,0,8,8,3,396,490,2025,9
langchain-ai__langchain,18,127113,20906,0,272,722,180,823,914,722,265,490,2024,3
vllm-project__vllm,29,70898,13607,0,177,504,64,781,701,504,507,486,2025,6
appsmithorg__appsmith,15,39114,4460,0,45,297,8,309,322,295,398,484,2021,8
anthropics__claude-code,5,69236,5437,0,6,26,2,12,8,5,1286,483,2025,6
langgenius__dify,16,129998,20242,0,114,335,64,403,401,338,499,483,2024,7
OpenHands__OpenHands,2,68077,8482,0,74,345,58,430,438,345,528,480,2024,4
SimplifyJobs__New-Grad-Positions,51,16313,1262,0,3,3779,1,1,0,0,481,480,2025,8
oven-sh__bun,54,87520,4074,0,22,260,7,415,317,220,422,480,2025,9
XTLS__Xray-core,42,35195,4969,0,15,33,9,32,31,24,48,480,2024,4
PaddlePaddle__PaddleOCR,50,70925,9839,6,12,17,7,33,30,20,97,479,2024,6
ultralytics__ultralytics,22,53471,10242,0,22,89,9,142,137,106,451,472,2024,6
zed-industries__zed,36,75691,7024,0,67,1402,56,679,663,610,301,472,2024,1
ollama__ollama,12,163117,14641,0,50,303,38,214,219,164,473,469,2024,5
SimplifyJobs__New-Grad-Positions,53,16313,1262,0,5,3172,3,1,0,0,465,467,2025,10
ultralytics__ultralytics,17,53471,10242,0,20,91,9,182,181,145,450,467,2024,1
chatchat-space__Langchain-Chatchat,15,37308,6140,0,9,57,3,16,19,16,151,466,2024,5
run-llama__llama_index,30,47101,6859,0,42,112,20,133,123,107,109,462,2025,4
toeverything__AFFiNE,34,63130,4397,0,29,603,5,633,620,589,111,461,2025,4
hiyouga__LlamaFactory,14,67432,8208,0,17,263,9,46,49,32,433,457,2024,6
BerriAI__litellm,30,36574,5916,0,87,1446,55,882,833,671,374,457,2025,12
lobehub__lobehub,22,72501,14652,0,42,0,28,314,328,228,503,454,2025,2
vllm-project__vllm,23,70898,13607,0,100,337,32,480,420,337,359,454,2024,12
calcom__cal.com,27,40283,11985,0,94,381,69,372,368,239,258,454,2023,5
Flowseal__zapret-discord-youtube,13,22959,1894,0,4,37,1,14,15,8,643,453,2025,10
