split,model,RMSE,MAE,R2
rolling_test_2021,optimized_weights,19.960743930757303,14.781717816203617,0.2277183455524232
rolling_test_2021,current_manual,23.33247208404288,19.55681842245696,-0.05522186496954684
rolling_test_2021,equal,23.823998955946244,19.89129605288979,-0.10014921826391476
rolling_test_2021,commit_heavy,21.286313284127743,17.312823669494435,0.121739863276493
rolling_test_2021,closure_heavy,25.212610211788824,21.311967353427626,-0.2321338559354882
rolling_test_2021,contributor_heavy,23.106085029778235,19.049762459959602,-0.034844286339149155
rolling_test_2021,linear_regression,14.497973477368845,10.897706308035731,0.5925851322848594
rolling_test_2021,elastic_net,14.537277172920088,10.953633141491775,0.5903731520689128
rolling_test_2021,random_forest,13.81376400057422,10.339950958474043,0.6301323602591827
rolling_test_2021,gradient_boosting,14.18948645193285,10.647853414018924,0.6097385739881015
rolling_test_2022,optimized_weights,17.73553982433579,12.983545391047285,0.29649579247474067
rolling_test_2022,current_manual,20.74242066643572,17.43409915761695,0.03773043273954124
rolling_test_2022,equal,20.83861698461686,17.412341166016564,0.028784375993201383
rolling_test_2022,commit_heavy,18.836043375672762,15.176280145540323,0.20648116562511198
rolling_test_2022,closure_heavy,22.61084956255123,19.279309140291577,-0.1434354079284066
rolling_test_2022,contributor_heavy,20.058778475480874,16.370844459045188,0.10011535813425287
rolling_test_2022,linear_regression,12.6679056597714,9.375387099818665,0.641088382211205
rolling_test_2022,elastic_net,12.671892305601316,9.407918718336147,0.6408624445241464
rolling_test_2022,random_forest,11.817654783760052,8.687766091118611,0.6876507452408922
rolling_test_2022,gradient_boosting,11.727112255631178,8.615733928759575,0.6924186205601242
rolling_test_2023,optimized_weights,16.88314738915823,12.362089557878546,0.41659354743343124
rolling_test_2023,current_manual,20.169537155588554,16.96981231346282,0.16736192018867857
rolling_test_2023,equal,20.110008201483296,16.813911550250154,0.17226961125633433
rolling_test_2023,commit_heavy,18.198826539888064,14.705491702944201,0.32212256787760785
rolling_test_2023,closure_heavy,22.0560116045937,18.784956971211724,0.004323246333448938
rolling_test_2023,contributor_heavy,19.12027915654782,15.545532888619205,0.25173942756722645
rolling_test_2023,linear_regression,12.405031637157622,9.003393828824635,0.6850365514758723
rolling_test_2023,elastic_net,12.445756838682362,9.077191888280312,0.6829651331255306
rolling_test_2023,random_forest,11.717185431423594,8.556350013453196,0.7189969651422063
rolling_test_2023,gradient_boosting,11.53009190730972,8.367056129095635,0.7278991222936518
rolling_test_2024,optimized_weights,16.063013161836103,11.5498668188435,0.5428146085787531
rolling_test_2024,current_manual,19.236176907611746,16.11453172440766,0.3443443027909827
rolling_test_2024,equal,19.114710687719434,15.892022474839175,0.3525983937471654
rolling_test_2024,commit_heavy,17.320020250739535,13.868565765356884,0.4684610363698698
rolling_test_2024,closure_heavy,21.071669336827842,17.889256367878733,0.21325100004208875
rolling_test_2024,contributor_heavy,17.995836212530005,14.54362764952648,0.4261711515454105
rolling_test_2024,linear_regression,12.764587528449258,9.25905735279589,0.7112966084783348
rolling_test_2024,elastic_net,12.84323710605841,9.3613329684464,0.7077279302117983
rolling_test_2024,random_forest,11.692035505207798,8.501114766716732,0.7577752226416044
rolling_test_2024,gradient_boosting,11.465460382999275,8.348647210395601,0.7670722076981512
rolling_test_2025,optimized_weights,15.36829735051209,11.2336686755684,0.6164600221470377
rolling_test_2025,current_manual,18.25032479892246,15.057492549211062,0.45912074449697804
rolling_test_2025,equal,18.124402388794273,14.875401790226125,0.46655884258854163
rolling_test_2025,commit_heavy,16.42567684193428,13.033901074984634,0.5618672900260511
rolling_test_2025,closure_heavy,20.053555707838417,16.708452197995275,0.34695680716666744
rolling_test_2025,contributor_heavy,17.04579800655357,13.608930008531651,0.5281610326817704
rolling_test_2025,linear_regression,13.029598415772785,9.607987037816104,0.7243098876557359
rolling_test_2025,elastic_net,13.139425321397104,9.716663435823689,0.7196426985516071
rolling_test_2025,random_forest,11.776050591070005,8.653366164192649,0.7748051497908102
rolling_test_2025,gradient_boosting,11.58080052293874,8.447500700796716,0.7822108242231405
holdout_2020_2023_vs_2024_2025,optimized_weights,16.054994526027002,11.668434478951536,0.5728835907652667
holdout_2020_2023_vs_2024_2025,current_manual,19.228872609421057,16.07349114146605,0.38732017785481265
holdout_2020_2023_vs_2024_2025,equal,19.09813255177538,15.862883691560315,0.39562326297934525
holdout_2020_2023_vs_2024_2025,commit_heavy,17.312598824535854,13.91113459488506,0.503349972283629
holdout_2020_2023_vs_2024_2025,closure_heavy,21.06429484741373,17.794791426410427,0.2647758169701111
holdout_2020_2023_vs_2024_2025,contributor_heavy,17.972557977929284,14.538491693118374,0.4647635030239059
holdout_2020_2023_vs_2024_2025,linear_regression,13.151259128055472,9.620406403920759,0.7134102832802416
holdout_2020_2023_vs_2024_2025,elastic_net,13.255961123584003,9.731323244436673,0.7088288266486469
holdout_2020_2023_vs_2024_2025,random_forest,12.057584886824241,8.8510716560775,0.7590945698986358
holdout_2020_2023_vs_2024_2025,gradient_boosting,11.81685832630141,8.648377720631396,0.7686177762713114
