split,model,train_active_rate,test_active_rate,balanced_accuracy,f1,precision,recall,roc_auc
rolling_test_2021,dummy,0.8050595238095238,0.7970005356186395,0.5,0.8870342771982116,0.7970005356186395,1.0,
rolling_test_2021,logistic_regression,0.8050595238095238,0.7970005356186395,0.819478430788436,0.8557620817843866,0.9575707154742097,0.7735215053763441,0.8908284747638097
rolling_test_2021,random_forest,0.8050595238095238,0.7970005356186395,0.8296069523647402,0.9046454767726161,0.9418181818181818,0.8702956989247311,0.894841227622209
rolling_test_2021,gradient_boosting,0.8050595238095238,0.7970005356186395,0.7610665446704684,0.9071476285905143,0.9017264276228419,0.9126344086021505,0.8774062331545948
rolling_test_2022,dummy,0.7991335171327294,0.8231268011527377,0.5,0.9029836000790358,0.8231268011527377,1.0,
rolling_test_2022,logistic_regression,0.7991335171327294,0.8231268011527377,0.8268656383836853,0.8881594372801875,0.9565656565656566,0.8288840262582057,0.9019011796583581
rolling_test_2022,random_forest,0.7991335171327294,0.8231268011527377,0.8263611528297095,0.914725175299706,0.9466292134831461,0.8849015317286653,0.9164661945656387
rolling_test_2022,gradient_boosting,0.7991335171327294,0.8231268011527377,0.7622825743024328,0.9264610739702394,0.9132653061224489,0.9400437636761488,0.915955024132414
rolling_test_2023,dummy,0.8116650987770461,0.8125452352231605,0.5,0.8965792626114735,0.8125452352231605,1.0,
rolling_test_2023,logistic_regression,0.8116650987770461,0.8125452352231605,0.8577105057211946,0.9009665663127872,0.9660210669384981,0.8441211401425178,0.9317002784936277
rolling_test_2023,random_forest,0.8116650987770461,0.8125452352231605,0.8611192631382655,0.9226978749615029,0.9584133077415227,0.8895486935866983,0.9371765301100218
rolling_test_2023,gradient_boosting,0.8116650987770461,0.8125452352231605,0.7864149142355794,0.9321663019693655,0.9162603957556639,0.9486342042755345,0.938827697735061
rolling_test_2024,dummy,0.8120507399577167,0.7830438066465257,0.5,0.8783225669808323,0.7830438066465257,1.0,
rolling_test_2024,logistic_regression,0.8120507399577167,0.7830438066465257,0.8767766101429557,0.9055148476667952,0.9697136563876652,0.8492886423920907,0.9430884532172008
rolling_test_2024,random_forest,0.8120507399577167,0.7830438066465257,0.8878993969027281,0.924354940213971,0.966824644549763,0.8854593682179889,0.9484407132737014
rolling_test_2024,gradient_boosting,0.8120507399577167,0.7830438066465257,0.8374163125671183,0.9359112065878983,0.9265122873345936,0.94550277308898,0.9531860354764831
rolling_test_2025,dummy,0.8016400108430469,0.7346089850249584,0.5,0.8470023980815348,0.7346089850249584,1.0,
rolling_test_2025,logistic_regression,0.8016400108430469,0.7346089850249584,0.8676609201319241,0.8934884423628947,0.9578879170715905,0.837202718006795,0.9395704122097295
rolling_test_2025,random_forest,0.8016400108430469,0.7346089850249584,0.8780074340467983,0.9084151055605114,0.95648090169067,0.8649490373725934,0.9442743816499041
rolling_test_2025,gradient_boosting,0.8016400108430469,0.7346089850249584,0.8502753153434608,0.922077922077922,0.9194819819819819,0.9246885617214043,0.9469619679633055
holdout_2020_2023_vs_2024_2025,dummy,0.8120507399577167,0.7599960411718132,0.5,0.8636338075690266,0.7599960411718132,1.0,
holdout_2020_2023_vs_2024_2025,logistic_regression,0.8120507399577167,0.7599960411718132,0.8720221570946604,0.8990264255910988,0.9646321444560514,0.8417762729522074,0.941013824018645
holdout_2020_2023_vs_2024_2025,random_forest,0.8120507399577167,0.7599960411718132,0.8834820899950728,0.9164847161572053,0.9625913716497062,0.8745930459695272,0.9455160210669615
holdout_2020_2023_vs_2024_2025,gradient_boosting,0.8120507399577167,0.7599960411718132,0.838284758405237,0.9294125217167493,0.91859577715594,0.9404870425836698,0.9491159045354649
rolling_test_2021,dummy,0.7991071428571429,0.7964649169791109,0.5,0.8867024448419797,0.7964649169791109,1.0,
rolling_test_2021,logistic_regression,0.7991071428571429,0.7964649169791109,0.8182051463561392,0.8525569242254573,0.9580536912751678,0.7679892400806994,0.892053056312604
rolling_test_2021,random_forest,0.7991071428571429,0.7964649169791109,0.8301481258627402,0.9037451872593629,0.9423357664233577,0.8681909885675857,0.8962304887976498
rolling_test_2021,gradient_boosting,0.7991071428571429,0.7964649169791109,0.759284854705695,0.908,0.900198281559815,0.9159381304640215,0.8814143630764876
rolling_test_2022,dummy,0.7971642378889326,0.8209654178674352,0.5,0.9016815034619189,0.8209654178674352,1.0,
rolling_test_2022,logistic_regression,0.7971642378889326,0.8209654178674352,0.8255571162826013,0.888262910798122,0.9550731953558809,0.8301886792452831,0.9034721713342804
rolling_test_2022,random_forest,0.7971642378889326,0.8209654178674352,0.8306292339380734,0.9151157512482978,0.9478138222849083,0.8845985081175954,0.9174948771170243
rolling_test_2022,gradient_boosting,0.7971642378889326,0.8209654178674352,0.7626994966728851,0.9258698940998488,0.9122657580919932,0.9398859148749451,0.9166168577944189
rolling_test_2023,dummy,0.8095954844778928,0.8103739445114596,0.5,0.8952558635394456,0.8103739445114596,1.0,
rolling_test_2023,logistic_regression,0.8095954844778928,0.8103739445114596,0.8577105145342694,0.9012698412698412,0.9653179190751445,0.8451920214349509,0.9315370880858611
rolling_test_2023,random_forest,0.8095954844778928,0.8103739445114596,0.8626327279944428,0.923835954363244,0.95810681164055,0.8919321226555522,0.9384201571563087
rolling_test_2023,gradient_boosting,0.8095954844778928,0.8103739445114596,0.7938169984251038,0.932258064516129,0.9185206587691419,0.9464126228044061,0.9396624995170775
rolling_test_2024,dummy,0.8099365750528541,0.7815332326283988,0.5,0.877371489136195,0.7815332326283988,1.0,
rolling_test_2024,logistic_regression,0.8099365750528541,0.7815332326283988,0.8772545988857805,0.9060489060489061,0.9694299091159461,0.8504469678666344,0.9438809912164221
rolling_test_2024,random_forest,0.8099365750528541,0.7815332326283988,0.886420525461058,0.9244522790229162,0.965290560084144,0.8869292099540952,0.9498854937841721
rolling_test_2024,gradient_boosting,0.8099365750528541,0.7815332326283988,0.8385410151930861,0.9360430364614465,0.9264079507808802,0.945880647499396,0.9539904690568016
rolling_test_2025,dummy,0.7997424776362158,0.7339850249584027,0.5,0.8465875014993403,0.7339850249584027,1.0,
rolling_test_2025,logistic_regression,0.7997424776362158,0.7339850249584027,0.8676036441937252,0.8935912938331319,0.9575639779721412,0.837631056956645,0.9395604298218425
rolling_test_2025,random_forest,0.7997424776362158,0.7339850249584027,0.8794605005194311,0.9096045197740112,0.9568345323741008,0.8668177954094645,0.9445665325015049
rolling_test_2025,gradient_boosting,0.7997424776362158,0.7339850249584027,0.8512539129043815,0.9219457013574661,0.9201241885407846,0.9237744403513743,0.9469967482654055
holdout_2020_2023_vs_2024_2025,dummy,0.8099365750528541,0.7589073634204275,0.5,0.862930452397029,0.7589073634204275,1.0,
holdout_2020_2023_vs_2024_2025,logistic_regression,0.8099365750528541,0.7589073634204275,0.8723153094814096,0.89926905673512,0.9644616992683291,0.8423317683881064,0.9413914842824507
holdout_2020_2023_vs_2024_2025,random_forest,0.8099365750528541,0.7589073634204275,0.8814136414913492,0.9162232228134807,0.9606580829756796,0.875717266562337,0.946322678514681
holdout_2020_2023_vs_2024_2025,gradient_boosting,0.8099365750528541,0.7589073634204275,0.8377561023869912,0.928796958566918,0.9179722328365814,0.9398800208659364,0.9491477119421511
rolling_test_2021,dummy,0.7752976190476191,0.7809319764327799,0.5,0.8769924812030075,0.7809319764327799,1.0,
rolling_test_2021,logistic_regression,0.7752976190476191,0.7809319764327799,0.8224868443559017,0.8590806330067822,0.9531772575250836,0.7818930041152263,0.8970044707389632
rolling_test_2021,random_forest,0.7752976190476191,0.7809319764327799,0.8229538739137581,0.8973627940128297,0.9339762611275965,0.8635116598079561,0.9036569169006007
rolling_test_2021,gradient_boosting,0.7752976190476191,0.7809319764327799,0.7560026294518734,0.8994565217391305,0.8909825033647375,0.9080932784636488,0.8868958381545541
rolling_test_2022,dummy,0.7794407246947617,0.8123198847262247,0.5,0.8964420592327569,0.8123198847262247,1.0,
rolling_test_2022,logistic_regression,0.7794407246947617,0.8123198847262247,0.8192572700460907,0.8868414835813844,0.9489383215369059,0.8323725055432373,0.9035280949563989
rolling_test_2022,random_forest,0.7794407246947617,0.8123198847262247,0.8419498576420068,0.9148642429820525,0.9507412721186035,0.8815964523281596,0.9183111958497007
rolling_test_2022,gradient_boosting,0.7794407246947617,0.8123198847262247,0.7695600733707564,0.9217619986850756,0.9111785095320624,0.9325942350332594,0.916520762136604
rolling_test_2023,dummy,0.7966133584195673,0.8028950542822678,0.5,0.8906730897899103,0.8028950542822678,1.0,
rolling_test_2023,logistic_regression,0.7966133584195673,0.8028950542822678,0.8571206586597307,0.901565995525727,0.9627986348122867,0.84765625,0.9318835473354674
rolling_test_2023,random_forest,0.7966133584195673,0.8028950542822678,0.8634002286154787,0.9252944823310602,0.95550576184379,0.8969350961538461,0.9387526774785802
